SMSID,SourceMSISDN,DestinationMSISDN,SMSDate,Direction,MessageType,ChargeAmount
84,0740000085,0772123456,2026-01-22,MO,Transactional,50
85,0710000059,0710000090,2026-04-19,MO,Transactional,50
86,0710000066,0710000055,2026-04-26,MT,Transactional,50
87,0740000029,0755123456,2026-06-04,MO,Transactional,50
88,0740000094,0740000031,2026-05-09,MT,Transactional,50
89,0740000070,0755123456,2026-01-09,MO,Transactional,50
90,0740000091,0772123456,2026-05-29,MT,Promotional,50
91,0740000019,0740000094,2026-05-15,MT,Transactional,50
92,0710000067,0710000011,2026-06-06,MO,Promotional,50
93,0740000061,0740000081,2026-06-19,MO,Transactional,50
94,0710000079,0755123456,2026-05-17,MO,Transactional,50
95,0710000059,0755123456,2026-05-27,MT,Transactional,50
96,0740000046,0755123456,2026-02-12,MO,Transactional,50
97,0740000094,0755123456,2026-01-16,MT,Promotional,50
98,0740000074,0740000007,2026-03-16,MO,Transactional,50
99,0710000063,0772123456,2026-05-10,MO,Transactional,50
100,0710000033,0740000017,2026-03-13,MT,Transactional,50
101,0710000002,0772123456,2026-06-04,MO,Promotional,50
102,0740000085,0755123456,2026-02-14,MT,Promotional,50
103,0710000063,0710000024,2026-01-09,MT,Promotional,50
104,0740000019,0772123456,2026-05-07,MT,Transactional,50
105,0740000031,0755123456,2026-06-13,MO,Promotional,50
106,0740000074,0755123456,2026-01-14,MT,Promotional,50
107,0740000007,0755123456,2026-04-13,MT,Transactional,50
108,0740000061,0740000096,2026-03-01,MT,Transactional,50
109,0740000061,0772123456,2026-05-16,MT,Promotional,50
110,0710000037,0755123456,2026-06-23,MT,Promotional,50
111,0710000013,0740000069,2026-04-01,MT,Transactional,50
112,0710000043,0755123456,2026-01-26,MT,Transactional,50
113,0740000060,0710000099,2026-03-03,MO,Transactional,50
114,0740000087,0772123456,2026-03-22,MO,Promotional,50
115,0740000009,0755123456,2026-01-26,MO,Transactional,50
116,0710000045,0740000029,2026-03-14,MT,Promotional,50
117,0710000005,0710000004,2026-01-24,MO,Promotional,50
118,0740000077,0772123456,2026-01-31,MO,Promotional,50
119,0710000049,0740000085,2026-05-25,MO,Promotional,50
120,0710000090,0755123456,2026-03-17,MT,Promotional,50
121,0740000082,0755123456,2026-04-20,MT,Transactional,50
122,0740000021,0772123456,2026-03-12,MO,Transactional,50
123,0740000050,0772123456,2026-03-08,MT,Promotional,50
124,0710000057,0755123456,2026-02-21,MT,Promotional,50
125,0710000083,0772123456,2026-02-06,MT,Promotional,50
126,0710000079,0772123456,2026-04-24,MT,Promotional,50
127,0710000005,0772123456,2026-05-27,MT,Transactional,50
128,0710000003,0772123456,2026-06-17,MO,Promotional,50
129,0710000086,0755123456,2026-02-08,MT,Transactional,50
130,0740000074,0710000001,2026-05-06,MT,Transactional,50
131,0740000052,0772123456,2026-05-19,MO,Promotional,50
132,0740000050,0755123456,2026-02-01,MT,Transactional,50
133,0710000088,0755123456,2026-01-15,MO,Transactional,50
134,0740000069,0772123456,2026-04-28,MT,Promotional,50
135,0740000023,0772123456,2026-04-09,MO,Transactional,50
136,0710000090,0772123456,2026-06-11,MT,Transactional,50
137,0710000011,0755123456,2026-02-18,MO,Promotional,50
138,0740000025,0710000004,2026-06-01,MO,Transactional,50
139,0740000050,0740000009,2026-06-14,MT,Transactional,50
140,0740000069,0772123456,2026-01-10,MT,Promotional,50
141,0710000044,0772123456,2026-04-14,MO,Promotional,50
142,0710000084,0710000086,2026-04-28,MO,Promotional,50
143,0740000010,0710000005,2026-02-06,MT,Promotional,50
144,0740000061,0772123456,2026-03-04,MO,Promotional,50
145,0740000023,0772123456,2026-03-20,MO,Transactional,50
146,0710000079,0740000022,2026-01-17,MO,Promotional,50
147,0710000064,0740000077,2026-02-26,MO,Promotional,50
148,0710000055,0710000044,2026-06-23,MT,Transactional,50
149,0740000016,0710000088,2026-05-20,MO,Transactional,50
150,0710000028,0772123456,2026-06-01,MO,Transactional,50
151,0740000009,0755123456,2026-02-06,MT,Promotional,50
152,0710000090,0740000048,2026-02-12,MT,Promotional,50
153,0740000075,0772123456,2026-01-26,MT,Promotional,50
154,0710000003,0772123456,2026-01-02,MO,Promotional,50
155,0740000012,0740000091,2026-06-01,MT,Transactional,50
156,0740000089,0755123456,2026-06-27,MO,Promotional,50
157,0740000019,0755123456,2026-05-14,MT,Transactional,50
158,0740000031,0740000023,2026-06-27,MO,Promotional,50
159,0740000092,0710000064,2026-01-23,MT,Transactional,50
160,0740000054,0710000001,2026-03-02,MO,Promotional,50
161,0710000068,0710000013,2026-04-03,MO,Transactional,50
162,0710000099,0740000081,2026-02-23,MT,Promotional,50
163,0740000025,0772123456,2026-06-25,MT,Transactional,50
164,0740000023,0740000021,2026-01-12,MO,Transactional,50
165,0710000037,0755123456,2026-03-06,MT,Transactional,50
166,0740000006,0710000014,2026-01-14,MO,Promotional,50
167,0710000004,0710000063,2026-01-30,MO,Promotional,50
168,0710000093,0710000057,2026-05-29,MT,Transactional,50
169,0740000026,0740000096,2026-03-25,MO,Promotional,50
170,0740000042,0772123456,2026-03-02,MT,Promotional,50
171,0710000049,0772123456,2026-05-01,MT,Promotional,50
172,0710000056,0772123456,2026-06-06,MT,Promotional,50
173,0740000050,0772123456,2026-04-28,MO,Transactional,50
174,0740000035,0755123456,2026-02-02,MO,Promotional,50
175,0740000036,0772123456,2026-04-30,MT,Transactional,50
176,0740000022,0755123456,2026-02-26,MT,Promotional,50
177,0740000082,0772123456,2026-05-28,MO,Promotional,50
178,0710000053,0755123456,2026-02-25,MT,Transactional,50
179,0740000036,0710000002,2026-04-20,MO,Promotional,50
180,0740000042,0710000056,2026-02-26,MO,Promotional,50
181,0740000054,0772123456,2026-05-01,MO,Transactional,50
182,0710000068,0755123456,2026-06-28,MO,Transactional,50
183,0710000064,0772123456,2026-05-23,MO,Transactional,50
184,0710000028,0755123456,2026-03-17,MO,Promotional,50
185,0710000003,0710000062,2026-03-20,MO,Transactional,50
186,0740000074,0740000096,2026-01-07,MT,Transactional,50
187,0710000099,0710000018,2026-04-14,MO,Transactional,50
188,0740000081,0740000060,2026-06-12,MO,Promotional,50
189,0740000050,0755123456,2026-05-16,MO,Transactional,50
190,0710000055,0755123456,2026-06-28,MO,Promotional,50
191,0710000080,0710000043,2026-01-15,MT,Promotional,50
192,0740000015,0755123456,2026-04-30,MO,Transactional,50
193,0740000047,0740000023,2026-05-24,MO,Promotional,50
194,0710000018,0772123456,2026-05-19,MO,Transactional,50
195,0740000095,0710000097,2026-06-29,MO,Promotional,50
196,0740000042,0755123456,2026-05-09,MT,Transactional,50
197,0740000007,0755123456,2026-03-30,MT,Transactional,50
198,0710000065,0772123456,2026-05-01,MT,Transactional,50
199,0710000080,0740000048,2026-06-27,MO,Promotional,50
200,0710000059,0772123456,2026-04-11,MO,Transactional,50
201,0740000010,0772123456,2026-03-12,MO,Promotional,50
202,0710000064,0772123456,2026-05-14,MO,Transactional,50
203,0740000054,0710000088,2026-02-03,MT,Transactional,50
204,0740000054,0710000057,2026-06-15,MO,Transactional,50
205,0740000025,0772123456,2026-03-01,MT,Transactional,50
206,0740000075,0710000044,2026-06-15,MT,Transactional,50
207,0710000076,0710000086,2026-05-16,MT,Transactional,50
208,0740000039,0772123456,2026-03-20,MO,Transactional,50
209,0710000030,0755123456,2026-03-15,MO,Promotional,50
210,0740000046,0755123456,2026-02-12,MO,Transactional,50
211,0710000024,0740000023,2026-06-27,MO,Promotional,50
212,0740000031,0772123456,2026-03-23,MO,Transactional,50
213,0740000034,0772123456,2026-02-22,MO,Transactional,50
214,0710000045,0755123456,2026-04-25,MO,Transactional,50
215,0740000016,0755123456,2026-05-08,MO,Transactional,50
216,0740000041,0772123456,2026-05-20,MT,Transactional,50
217,0740000061,0710000038,2026-06-20,MO,Transactional,50
218,0710000044,0772123456,2026-05-03,MO,Promotional,50
219,0740000087,0772123456,2026-03-20,MO,Transactional,50
220,0710000080,0755123456,2026-04-02,MO,Transactional,50
221,0710000008,0740000078,2026-02-19,MO,Transactional,50
222,0740000026,0772123456,2026-05-18,MT,Promotional,50
223,0710000066,0772123456,2026-05-06,MT,Promotional,50
224,0710000086,0755123456,2026-02-07,MT,Transactional,50
225,0740000050,0772123456,2026-03-14,MT,Transactional,50
226,0740000040,0740000058,2026-01-23,MO,Transactional,50
227,0740000095,0755123456,2026-03-15,MO,Transactional,50
228,0740000094,0772123456,2026-05-31,MO,Promotional,50
229,0710000027,0755123456,2026-05-15,MT,Promotional,50
230,0710000076,0755123456,2026-01-23,MO,Transactional,50
231,0740000082,0755123456,2026-02-14,MT,Promotional,50
232,0740000026,0755123456,2026-03-16,MT,Promotional,50
233,0740000039,0755123456,2026-05-07,MT,Promotional,50
234,0710000004,0772123456,2026-03-09,MT,Transactional,50
235,0740000016,0710000084,2026-03-15,MT,Promotional,50
236,0710000063,0740000089,2026-03-04,MO,Promotional,50
237,0740000098,0755123456,2026-01-18,MT,Transactional,50
238,0710000073,0755123456,2026-06-10,MT,Promotional,50
239,0740000048,0710000066,2026-05-28,MO,Transactional,50
240,0740000021,0772123456,2026-02-07,MT,Transactional,50
241,0740000089,0755123456,2026-02-11,MO,Transactional,50
242,0740000047,0740000054,2026-04-02,MO,Transactional,50
243,0710000038,0710000068,2026-01-20,MO,Promotional,50
244,0740000098,0710000013,2026-02-12,MT,Transactional,50
245,0710000088,0755123456,2026-06-25,MT,Promotional,50
246,0740000069,0755123456,2026-02-06,MO,Promotional,50
247,0710000067,0755123456,2026-05-05,MT,Transactional,50
248,0740000021,0772123456,2026-02-09,MO,Promotional,50
249,0740000072,0710000079,2026-05-15,MO,Transactional,50
250,0710000059,0772123456,2026-02-03,MO,Transactional,50
251,0710000045,0740000040,2026-04-03,MO,Transactional,50
252,0740000077,0755123456,2026-02-14,MT,Promotional,50
253,0740000096,0772123456,2026-02-02,MO,Promotional,50
254,0740000040,0772123456,2026-02-03,MO,Transactional,50
255,0740000089,0772123456,2026-01-20,MO,Transactional,50
256,0710000097,0772123456,2026-02-20,MO,Promotional,50
257,0740000085,0710000066,2026-01-16,MT,Promotional,50
258,0710000033,0772123456,2026-03-19,MO,Promotional,50
259,0740000016,0772123456,2026-05-31,MO,Promotional,50
260,0710000086,0772123456,2026-01-24,MO,Transactional,50
261,0740000075,0755123456,2026-02-11,MO,Promotional,50
262,0710000013,0772123456,2026-05-16,MO,Promotional,50
263,0710000037,0740000022,2026-01-02,MO,Promotional,50
264,0710000065,0755123456,2026-04-04,MO,Transactional,50
265,0740000087,0772123456,2026-04-01,MT,Transactional,50
266,0710000028,0772123456,2026-04-15,MO,Transactional,50
267,0740000016,0772123456,2026-05-14,MO,Transactional,50
268,0740000098,0740000047,2026-03-15,MO,Promotional,50
269,0740000042,0772123456,2026-04-09,MT,Transactional,50
270,0740000077,0755123456,2026-06-25,MT,Promotional,50
271,0710000071,0755123456,2026-04-20,MO,Promotional,50
272,0740000061,0755123456,2026-02-15,MO,Transactional,50
273,0740000087,0755123456,2026-04-23,MO,Promotional,50
274,0740000019,0755123456,2026-06-27,MO,Promotional,50
275,0740000009,0772123456,2026-03-28,MO,Transactional,50
276,0740000016,0755123456,2026-05-08,MT,Transactional,50
277,0710000097,0755123456,2026-04-02,MT,Transactional,50
278,0710000063,0755123456,2026-02-07,MT,Promotional,50
279,0740000016,0755123456,2026-05-08,MO,Promotional,50
280,0710000004,0710000013,2026-01-14,MO,Transactional,50
281,0740000087,0772123456,2026-04-08,MT,Promotional,50
282,0740000039,0710000080,2026-01-25,MO,Transactional,50
283,0740000060,0755123456,2026-06-19,MT,Transactional,50
284,0710000065,0740000034,2026-03-29,MO,Promotional,50
285,0710000056,0755123456,2026-04-26,MT,Transactional,50
286,0710000057,0772123456,2026-01-09,MO,Transactional,50
287,0740000091,0755123456,2026-04-21,MO,Transactional,50
288,0740000092,0755123456,2026-01-29,MT,Transactional,50
289,0740000061,0772123456,2026-05-10,MO,Transactional,50
290,0740000034,0710000064,2026-04-07,MT,Transactional,50
291,0740000042,0772123456,2026-06-01,MO,Promotional,50
292,0740000047,0710000045,2026-05-30,MO,Transactional,50
293,0710000049,0755123456,2026-03-30,MT,Transactional,50
294,0710000045,0710000008,2026-03-04,MO,Promotional,50
295,0710000083,0740000040,2026-01-22,MO,Transactional,50
296,0740000015,0772123456,2026-01-06,MT,Promotional,50
297,0710000059,0755123456,2026-05-26,MT,Transactional,50
298,0710000003,0755123456,2026-05-31,MO,Transactional,50
299,0710000049,0755123456,2026-03-24,MO,Transactional,50
300,0710000013,0740000089,2026-02-22,MT,Transactional,50
301,0710000065,0740000098,2026-03-28,MO,Transactional,50
302,0740000047,0772123456,2026-05-08,MO,Promotional,50
303,0710000037,0772123456,2026-03-18,MT,Promotional,50
304,0710000080,0772123456,2026-05-29,MO,Transactional,50
305,0740000035,0740000009,2026-05-16,MT,Transactional,50
306,0710000027,0772123456,2026-06-16,MT,Transactional,50
307,0710000056,0740000085,2026-03-22,MO,Transactional,50
308,0740000052,0710000033,2026-05-12,MT,Promotional,50
309,0710000003,0740000081,2026-05-13,MO,Transactional,50
310,0710000028,0740000085,2026-04-30,MT,Transactional,50
311,0710000073,0740000094,2026-01-16,MO,Transactional,50
312,0740000060,0772123456,2026-02-08,MT,Transactional,50
313,0710000053,0772123456,2026-06-12,MO,Transactional,50
314,0740000035,0710000037,2026-02-11,MT,Promotional,50
315,0740000052,0772123456,2026-02-08,MO,Promotional,50
316,0710000032,0755123456,2026-05-05,MT,Transactional,50
317,0710000083,0772123456,2026-02-10,MT,Promotional,50
318,0710000004,0755123456,2026-06-18,MO,Promotional,50
319,0710000093,0772123456,2026-01-15,MO,Transactional,50
320,0740000078,0772123456,2026-04-15,MT,Promotional,50
321,0740000051,0772123456,2026-03-02,MO,Promotional,50
322,0710000067,0710000086,2026-05-15,MT,Transactional,50
323,0740000012,0740000031,2026-02-01,MT,Transactional,50
324,0740000075,0755123456,2026-03-02,MT,Promotional,50
325,0740000019,0772123456,2026-02-24,MT,Transactional,50
326,0710000053,0710000033,2026-01-15,MT,Transactional,50
327,0710000090,0755123456,2026-05-20,MT,Transactional,50
328,0710000088,0755123456,2026-02-07,MT,Transactional,50
329,0740000092,0755123456,2026-01-06,MO,Promotional,50
330,0740000089,0772123456,2026-03-06,MT,Transactional,50
331,0740000082,0755123456,2026-06-25,MO,Promotional,50
332,0710000057,0772123456,2026-04-11,MT,Transactional,50
333,0740000012,0772123456,2026-03-18,MO,Promotional,50
334,0710000057,0755123456,2026-06-14,MT,Promotional,50
335,0740000036,0755123456,2026-05-01,MT,Transactional,50
336,0740000092,0772123456,2026-02-11,MT,Promotional,50
337,0740000046,0740000054,2026-05-21,MT,Transactional,50
338,0740000089,0772123456,2026-06-14,MO,Transactional,50
339,0710000083,0772123456,2026-04-13,MO,Transactional,50
340,0740000041,0772123456,2026-01-29,MO,Promotional,50
341,0710000067,0740000092,2026-02-03,MT,Transactional,50
342,0740000058,0710000062,2026-02-04,MT,Promotional,50
343,0710000088,0755123456,2026-03-14,MO,Promotional,50
344,0740000054,0772123456,2026-04-11,MT,Promotional,50
345,0710000003,0710000003,2026-06-15,MO,Promotional,50
346,0740000060,0755123456,2026-06-29,MO,Promotional,50
347,0740000052,0755123456,2026-06-03,MT,Promotional,50
348,0740000012,0772123456,2026-05-26,MO,Promotional,50
349,0740000092,0755123456,2026-04-27,MT,Promotional,50
350,0740000029,0772123456,2026-02-18,MT,Transactional,50
351,0740000096,0755123456,2026-02-03,MT,Promotional,50
352,0740000077,0755123456,2026-06-23,MO,Transactional,50
353,0710000024,0772123456,2026-01-08,MT,Transactional,50
354,0740000031,0755123456,2026-03-05,MT,Transactional,50
355,0710000011,0755123456,2026-02-04,MT,Transactional,50
356,0710000088,0710000028,2026-04-09,MT,Transactional,50
357,0740000010,0710000013,2026-01-16,MO,Transactional,50
358,0740000031,0755123456,2026-06-05,MO,Promotional,50
359,0710000033,0710000065,2026-04-08,MT,Transactional,50
360,0710000086,0772123456,2026-05-24,MO,Promotional,50
361,0740000034,0740000022,2026-05-07,MT,Transactional,50
362,0740000017,0755123456,2026-05-16,MT,Promotional,50
363,0740000034,0755123456,2026-01-12,MO,Transactional,50
364,0740000036,0755123456,2026-04-21,MT,Transactional,50
365,0710000079,0755123456,2026-05-13,MT,Transactional,50
366,0740000022,0740000041,2026-05-06,MO,Transactional,50
367,0740000007,0772123456,2026-01-14,MO,Promotional,50
368,0710000005,0755123456,2026-02-11,MT,Transactional,50
369,0740000015,0772123456,2026-04-24,MT,Transactional,50
370,0710000059,0772123456,2026-02-07,MO,Transactional,50
371,0740000012,0755123456,2026-02-16,MO,Transactional,50
372,0710000073,0740000085,2026-02-24,MO,Promotional,50
373,0740000054,0772123456,2026-05-08,MO,Transactional,50
374,0710000004,0710000037,2026-06-24,MO,Transactional,50
375,0740000048,0772123456,2026-03-24,MO,Promotional,50
376,0710000011,0710000059,2026-06-18,MT,Transactional,50
377,0740000081,0740000035,2026-06-18,MO,Transactional,50
378,0740000006,0710000084,2026-04-26,MT,Promotional,50
379,0710000028,0740000007,2026-03-14,MT,Promotional,50
380,0740000096,0740000010,2026-06-04,MT,Promotional,50
381,0740000052,0772123456,2026-03-03,MT,Promotional,50
382,0710000003,0772123456,2026-04-10,MT,Transactional,50
383,0710000083,0710000097,2026-02-09,MO,Transactional,50
384,0710000063,0710000056,2026-03-21,MO,Transactional,50
385,0710000086,0755123456,2026-05-12,MO,Transactional,50
386,0740000058,0755123456,2026-03-10,MT,Promotional,50
387,0710000097,0755123456,2026-06-07,MO,Transactional,50
388,0740000081,0772123456,2026-01-11,MT,Transactional,50
389,0740000087,0740000029,2026-06-25,MO,Transactional,50
390,0710000068,0740000081,2026-05-15,MO,Transactional,50
391,0740000060,0772123456,2026-05-03,MT,Promotional,50
392,0740000017,0755123456,2026-03-05,MT,Transactional,50
393,0710000073,0740000007,2026-01-20,MO,Promotional,50
394,0710000066,0755123456,2026-01-25,MT,Transactional,50
395,0740000046,0710000033,2026-01-21,MO,Promotional,50
396,0740000095,0755123456,2026-02-15,MO,Transactional,50
397,0740000006,0755123456,2026-06-30,MT,Transactional,50
398,0710000076,0755123456,2026-06-21,MT,Transactional,50
399,0710000044,0772123456,2026-02-17,MO,Transactional,50
400,0740000087,0755123456,2026-05-17,MO,Promotional,50
401,0740000051,0772123456,2026-02-13,MT,Transactional,50
402,0740000089,0740000052,2026-06-04,MT,Transactional,50
403,0710000080,0755123456,2026-06-26,MT,Transactional,50
404,0740000012,0772123456,2026-01-04,MO,Promotional,50
405,0710000003,0772123456,2026-01-07,MO,Transactional,50
406,0710000084,0740000019,2026-03-03,MT,Promotional,50
407,0740000012,0755123456,2026-02-07,MT,Transactional,50
408,0710000003,0772123456,2026-02-09,MT,Transactional,50
409,0740000061,0755123456,2026-05-30,MO,Promotional,50
410,0710000038,0755123456,2026-01-14,MT,Promotional,50
411,0710000014,0740000081,2026-04-21,MT,Transactional,50
412,0740000095,0740000075,2026-05-22,MT,Promotional,50
413,0710000063,0755123456,2026-05-12,MT,Promotional,50
414,0740000092,0710000008,2026-01-05,MT,Transactional,50
415,0710000071,0755123456,2026-06-15,MT,Transactional,50
416,0740000015,0710000064,2026-06-15,MT,Transactional,50
417,0710000090,0772123456,2026-02-11,MT,Promotional,50
418,0740000061,0755123456,2026-03-01,MO,Transactional,50
419,0740000078,0740000092,2026-04-30,MO,Transactional,50
420,0710000093,0755123456,2026-04-17,MT,Transactional,50
421,0740000021,0772123456,2026-03-14,MO,Transactional,50
422,0740000017,0772123456,2026-02-10,MT,Promotional,50
423,0740000054,0755123456,2026-03-02,MO,Promotional,50
424,0710000003,0755123456,2026-04-02,MO,Promotional,50
425,0710000065,0772123456,2026-03-28,MT,Promotional,50
426,0710000080,0772123456,2026-05-24,MO,Transactional,50
427,0740000034,0755123456,2026-01-12,MT,Promotional,50
428,0740000089,0710000066,2026-06-21,MO,Promotional,50
429,0710000057,0772123456,2026-01-28,MO,Promotional,50
430,0710000065,0772123456,2026-06-11,MO,Promotional,50
431,0740000047,0740000021,2026-03-16,MT,Transactional,50
432,0740000094,0772123456,2026-06-15,MT,Transactional,50
433,0710000018,0772123456,2026-04-23,MT,Promotional,50
434,0710000032,0755123456,2026-03-15,MO,Promotional,50
435,0740000035,0740000048,2026-04-17,MT,Promotional,50
436,0710000020,0710000097,2026-04-18,MO,Promotional,50
437,0710000055,0755123456,2026-04-28,MT,Promotional,50
438,0710000057,0772123456,2026-05-13,MO,Promotional,50
439,0710000044,0755123456,2026-02-12,MT,Promotional,50
440,0740000051,0772123456,2026-06-19,MO,Promotional,50
441,0740000081,0740000092,2026-05-14,MT,Transactional,50
442,0740000052,0710000088,2026-05-22,MT,Transactional,50
443,0710000045,0755123456,2026-05-16,MO,Transactional,50
444,0740000058,0772123456,2026-05-20,MT,Transactional,50
445,0710000084,0772123456,2026-03-19,MO,Promotional,50
446,0740000069,0755123456,2026-02-02,MT,Promotional,50
447,0740000012,0710000066,2026-03-21,MT,Promotional,50
448,0710000003,0710000004,2026-06-01,MT,Promotional,50
449,0710000100,0740000039,2026-04-19,MO,Promotional,50
450,0740000048,0740000034,2026-05-10,MT,Promotional,50
451,0740000007,0710000097,2026-02-01,MT,Transactional,50
452,0740000074,0772123456,2026-04-27,MT,Promotional,50
453,0740000096,0740000075,2026-06-10,MO,Transactional,50
454,0740000039,0710000037,2026-05-27,MO,Transactional,50
455,0710000067,0772123456,2026-01-27,MT,Promotional,50
456,0710000100,0755123456,2026-01-26,MO,Transactional,50
457,0710000053,0772123456,2026-01-16,MT,Promotional,50
458,0740000061,0755123456,2026-01-20,MT,Transactional,50
459,0710000076,0740000072,2026-04-12,MT,Transactional,50
460,0740000082,0755123456,2026-06-26,MT,Transactional,50
461,0740000021,0740000019,2026-02-02,MT,Transactional,50
462,0740000017,0740000091,2026-05-16,MO,Promotional,50
463,0710000059,0772123456,2026-02-10,MT,Promotional,50
464,0740000078,0772123456,2026-01-31,MT,Transactional,50
465,0740000006,0772123456,2026-01-31,MT,Transactional,50
466,0740000048,0755123456,2026-05-05,MO,Promotional,50
467,0740000019,0755123456,2026-01-13,MT,Transactional,50
468,0710000028,0710000024,2026-05-06,MO,Promotional,50
469,0710000071,0772123456,2026-01-12,MT,Transactional,50
470,0740000074,0740000040,2026-04-26,MT,Transactional,50
471,0740000061,0710000093,2026-02-03,MO,Transactional,50
472,0740000098,0740000058,2026-04-25,MO,Transactional,50
473,0740000012,0710000080,2026-06-09,MT,Transactional,50
474,0710000030,0755123456,2026-05-19,MO,Transactional,50
475,0740000095,0740000036,2026-01-23,MO,Promotional,50
476,0740000074,0740000081,2026-03-21,MO,Promotional,50
477,0740000025,0710000080,2026-05-28,MO,Promotional,50
478,0710000097,0740000061,2026-01-05,MO,Promotional,50
479,0710000003,0772123456,2026-03-04,MT,Promotional,50
