SaleID,MSISDN,PurchaseDate,Amount,Channel
109,740000092,14/01/2026,2000,Agent
110,740000019,24/05/2026,10000,Scratch
111,740000029,22/06/2026,2000,MobileMoney
112,740000081,21/03/2026,1000,MobileMoney
113,710000080,26/06/2026,2000,Scratch
114,740000009,01/01/2026,2000,Agent
115,740000016,14/05/2026,1000,Scratch
116,710000027,27/01/2026,10000,Scratch
117,710000065,24/04/2026,10000,Scratch
118,740000016,18/03/2026,10000,MobileMoney
119,710000024,02/03/2026,20000,MobileMoney
120,710000079,24/06/2026,10000,Agent
121,710000079,01/02/2026,10000,Scratch
122,740000082,06/01/2026,2000,Scratch
123,740000096,18/06/2026,2000,Scratch
124,710000066,29/06/2026,20000,Scratch
125,740000061,03/05/2026,5000,MobileMoney
126,710000086,26/01/2026,20000,MobileMoney
127,740000048,20/06/2026,5000,MobileMoney
128,740000050,28/06/2026,1000,MobileMoney
129,740000054,19/04/2026,2000,Scratch
130,710000037,28/04/2026,1000,Agent
131,740000050,03/01/2026,20000,MobileMoney
132,710000005,15/06/2026,20000,MobileMoney
133,740000006,01/04/2026,2000,MobileMoney
134,710000093,28/04/2026,5000,Scratch
135,740000021,02/04/2026,20000,Agent
136,710000027,31/03/2026,20000,MobileMoney
137,710000066,17/01/2026,2000,Agent
138,710000020,01/04/2026,20000,MobileMoney
139,710000059,05/02/2026,5000,Agent
140,740000039,11/04/2026,1000,Agent
141,710000062,07/04/2026,10000,Agent
142,740000085,16/02/2026,20000,Agent
143,710000065,18/06/2026,20000,MobileMoney
144,740000017,28/06/2026,5000,Agent
145,740000075,31/03/2026,20000,Agent
146,740000052,18/01/2026,1000,Scratch
147,740000094,10/02/2026,2000,Scratch
148,710000086,28/01/2026,10000,Agent
149,740000061,24/03/2026,2000,Agent
150,740000031,27/01/2026,2000,Agent
151,740000050,18/04/2026,1000,Scratch
152,710000079,06/03/2026,1000,Scratch
153,740000096,19/01/2026,10000,MobileMoney
154,740000078,11/06/2026,1000,Scratch
155,740000042,28/01/2026,10000,MobileMoney
156,710000018,13/06/2026,20000,Agent
157,740000026,20/02/2026,5000,MobileMoney
158,710000057,23/06/2026,5000,Scratch
159,740000026,11/02/2026,10000,Agent
160,740000025,23/01/2026,20000,Scratch
161,740000081,21/06/2026,1000,Scratch
162,710000005,05/02/2026,1000,MobileMoney
163,710000100,15/04/2026,20000,Agent
164,740000010,29/03/2026,2000,Agent
165,740000094,14/06/2026,20000,MobileMoney
166,740000025,23/02/2026,20000,MobileMoney
167,710000065,01/04/2026,5000,Agent
168,740000072,05/02/2026,1000,MobileMoney
169,710000055,10/06/2026,10000,Scratch
170,710000073,21/01/2026,2000,Agent
171,740000039,26/01/2026,1000,MobileMoney
172,710000030,14/01/2026,20000,Agent
173,710000043,06/01/2026,2000,MobileMoney
174,710000033,10/04/2026,5000,Scratch
175,740000021,15/03/2026,1000,Agent
176,740000074,03/03/2026,20000,Agent
177,710000065,21/03/2026,10000,Agent
178,710000008,20/05/2026,1000,Agent
179,740000061,09/03/2026,1000,Scratch
180,710000044,18/04/2026,5000,Scratch
181,710000043,16/01/2026,2000,Scratch
182,710000071,26/03/2026,1000,Scratch
183,710000064,19/01/2026,20000,Agent
184,710000090,10/01/2026,5000,Scratch
185,740000054,03/06/2026,20000,Scratch
186,710000071,03/05/2026,2000,MobileMoney
187,710000093,11/01/2026,1000,Scratch
188,710000064,10/05/2026,2000,Agent
189,710000045,21/04/2026,10000,MobileMoney
190,710000030,06/01/2026,1000,Scratch
191,710000100,20/02/2026,20000,Agent
192,710000049,24/06/2026,1000,Agent
193,710000062,14/01/2026,10000,MobileMoney
194,710000090,02/02/2026,10000,Agent
195,710000055,21/05/2026,2000,Scratch
196,710000057,31/01/2026,20000,MobileMoney
197,740000046,19/02/2026,5000,MobileMoney
198,710000008,02/03/2026,2000,Scratch
199,710000076,03/01/2026,2000,MobileMoney
200,740000096,18/05/2026,20000,Scratch
201,710000002,05/03/2026,1000,Scratch
202,710000008,02/02/2026,10000,Scratch
203,710000037,12/01/2026,5000,MobileMoney
204,740000078,17/06/2026,2000,MobileMoney
205,740000017,05/06/2026,10000,MobileMoney
206,740000085,01/02/2026,1000,Scratch
207,710000033,20/05/2026,2000,MobileMoney
208,740000091,02/04/2026,2000,MobileMoney
209,740000092,19/03/2026,5000,Agent
210,710000038,17/06/2026,2000,Agent
211,740000035,23/03/2026,20000,Agent
212,710000014,14/01/2026,5000,MobileMoney
213,740000091,09/06/2026,10000,MobileMoney
214,710000011,22/02/2026,2000,Agent
215,710000030,20/03/2026,20000,Scratch
216,740000016,06/04/2026,2000,Scratch
217,740000031,28/06/2026,10000,Agent
218,740000098,27/04/2026,1000,Scratch
219,710000064,09/01/2026,5000,MobileMoney
220,710000076,09/04/2026,5000,Scratch
221,710000008,13/03/2026,20000,MobileMoney
222,710000064,05/01/2026,10000,MobileMoney
223,710000057,12/01/2026,2000,Scratch
224,710000049,17/02/2026,10000,Agent
225,740000007,19/06/2026,5000,Scratch
226,740000070,31/03/2026,1000,Agent
227,710000097,28/03/2026,5000,Agent
228,710000028,08/01/2026,5000,Agent
229,710000080,22/04/2026,10000,Agent
230,740000095,15/01/2026,1000,Agent
231,740000050,23/06/2026,5000,Agent
232,740000060,19/04/2026,20000,Agent
233,710000073,13/05/2026,5000,Scratch
234,710000049,30/04/2026,2000,Scratch
235,710000002,13/03/2026,5000,Scratch
236,710000032,19/05/2026,5000,MobileMoney
237,740000074,12/04/2026,1000,Agent
238,740000036,03/04/2026,5000,Agent
239,710000033,17/06/2026,20000,Scratch
240,740000016,20/03/2026,20000,Agent
241,740000042,09/03/2026,2000,MobileMoney
242,740000060,05/01/2026,10000,Scratch
243,740000060,10/01/2026,5000,MobileMoney
244,740000082,23/05/2026,2000,MobileMoney
245,710000008,29/05/2026,1000,MobileMoney
246,710000079,22/05/2026,5000,Scratch
247,710000057,16/02/2026,5000,MobileMoney
248,740000034,07/05/2026,2000,Scratch
249,740000081,14/02/2026,2000,Agent
250,710000084,13/01/2026,2000,Scratch
251,710000084,10/01/2026,2000,Agent
252,710000065,23/04/2026,20000,MobileMoney
253,740000006,22/05/2026,2000,Scratch
254,740000092,08/03/2026,5000,Scratch
255,740000087,01/04/2026,20000,Agent
256,740000006,03/06/2026,2000,MobileMoney
257,710000014,20/01/2026,20000,MobileMoney
258,740000015,11/05/2026,1000,Scratch
259,710000027,25/03/2026,20000,MobileMoney
260,710000088,17/04/2026,1000,Agent
261,710000055,14/03/2026,2000,Scratch
262,740000042,05/06/2026,5000,MobileMoney
263,710000053,16/06/2026,5000,MobileMoney
264,710000038,09/06/2026,1000,Scratch
265,740000048,12/01/2026,5000,Scratch
266,710000076,07/01/2026,1000,Agent
267,710000028,22/03/2026,20000,Agent
268,710000100,11/05/2026,20000,Agent
269,710000045,25/02/2026,10000,Agent
270,710000005,18/06/2026,2000,MobileMoney
271,740000098,16/06/2026,1000,Scratch
272,740000029,25/05/2026,20000,Agent
273,740000081,21/05/2026,10000,Agent
274,740000094,01/02/2026,20000,Scratch
275,740000078,01/05/2026,20000,Agent
276,710000057,23/03/2026,5000,Scratch
277,740000074,17/03/2026,2000,MobileMoney
278,710000032,03/04/2026,2000,MobileMoney
279,740000041,30/01/2026,2000,MobileMoney
280,740000094,15/04/2026,5000,Scratch
281,740000046,24/05/2026,20000,Scratch
282,740000047,17/06/2026,10000,Agent
283,710000030,25/04/2026,10000,Scratch
284,710000073,02/02/2026,20000,Scratch
285,710000100,15/04/2026,20000,Agent
286,710000018,05/06/2026,5000,MobileMoney
287,710000044,22/03/2026,1000,Scratch
288,710000053,18/04/2026,20000,Scratch
289,740000074,07/05/2026,2000,Scratch
290,710000059,04/01/2026,2000,Scratch
291,740000054,09/03/2026,20000,Agent
292,740000061,26/01/2026,2000,Scratch
293,710000056,07/01/2026,2000,Scratch
294,740000017,12/05/2026,20000,MobileMoney
295,710000055,01/04/2026,2000,MobileMoney
296,710000090,23/05/2026,2000,Agent
297,710000038,31/01/2026,5000,MobileMoney
298,710000076,05/06/2026,20000,Scratch
299,710000093,12/01/2026,1000,Agent
300,740000046,25/04/2026,10000,Agent
301,740000058,22/04/2026,5000,MobileMoney
302,710000090,04/02/2026,2000,Agent
303,710000099,31/05/2026,20000,Scratch
304,710000020,02/01/2026,20000,Agent
305,740000048,22/06/2026,10000,MobileMoney
306,740000042,23/04/2026,2000,Agent
307,710000093,31/05/2026,5000,Scratch
308,710000030,18/03/2026,10000,MobileMoney
309,740000007,25/05/2026,20000,Agent
310,740000075,11/05/2026,10000,MobileMoney
311,740000042,09/04/2026,5000,Scratch
312,740000019,11/01/2026,2000,MobileMoney
313,710000067,13/03/2026,20000,Agent
314,740000041,26/01/2026,5000,MobileMoney
315,740000022,31/01/2026,5000,MobileMoney
316,710000063,23/04/2026,2000,Scratch
317,710000037,08/03/2026,20000,Scratch
318,710000030,20/06/2026,5000,Scratch
319,710000013,22/02/2026,20000,Agent
320,710000097,13/02/2026,1000,Agent
321,740000006,19/05/2026,20000,Scratch
322,710000001,06/05/2026,1000,MobileMoney
323,710000027,14/03/2026,20000,MobileMoney
324,740000094,24/04/2026,20000,Scratch
325,710000059,17/03/2026,1000,Agent
326,740000091,31/01/2026,10000,MobileMoney
327,710000064,09/03/2026,1000,Scratch
328,740000036,21/06/2026,1000,MobileMoney
329,710000011,26/02/2026,1000,MobileMoney
330,740000021,10/05/2026,5000,MobileMoney
331,710000059,11/06/2026,20000,Agent
332,710000100,19/01/2026,5000,Scratch
333,710000056,26/01/2026,20000,MobileMoney
334,740000025,23/05/2026,1000,Agent
335,740000081,03/01/2026,2000,Scratch
336,710000076,07/04/2026,2000,Agent
337,740000026,09/03/2026,10000,Scratch
338,710000063,17/02/2026,10000,MobileMoney
339,740000017,20/02/2026,1000,Agent
340,710000093,24/02/2026,1000,MobileMoney
341,740000009,06/05/2026,20000,Agent
342,710000027,15/02/2026,1000,MobileMoney
343,740000089,09/03/2026,20000,MobileMoney
344,740000081,30/05/2026,2000,Agent
345,710000045,04/05/2026,20000,Agent
346,710000024,18/03/2026,2000,MobileMoney
347,710000086,05/05/2026,10000,Agent
348,740000051,03/06/2026,5000,Agent
349,710000062,17/03/2026,1000,Scratch
350,740000015,15/03/2026,10000,MobileMoney
351,740000042,05/03/2026,10000,Scratch
352,740000023,29/04/2026,5000,Agent
353,740000015,30/03/2026,10000,Agent
354,740000017,04/05/2026,10000,Agent
355,710000053,25/06/2026,2000,Scratch
356,710000038,10/03/2026,20000,Scratch
357,710000053,16/01/2026,20000,MobileMoney
358,740000034,22/06/2026,5000,MobileMoney
359,740000051,24/04/2026,10000,MobileMoney
360,740000034,14/01/2026,5000,MobileMoney
361,740000094,26/02/2026,5000,Agent
362,740000006,20/03/2026,10000,MobileMoney
363,740000029,27/05/2026,2000,Agent
364,710000027,10/06/2026,1000,Agent
365,710000079,26/03/2026,2000,Agent
366,740000070,06/01/2026,1000,MobileMoney
367,740000012,30/06/2026,5000,MobileMoney
368,710000099,22/05/2026,1000,Agent
369,740000007,13/05/2026,2000,MobileMoney
370,740000069,20/02/2026,2000,Agent
371,740000051,28/02/2026,5000,Scratch
372,740000048,26/03/2026,10000,Scratch
373,710000071,05/03/2026,1000,Scratch
374,710000003,15/05/2026,1000,Agent
375,740000051,05/05/2026,1000,Scratch
376,710000037,19/03/2026,1000,Scratch
377,740000081,26/06/2026,2000,Scratch
378,740000035,01/02/2026,10000,Agent
379,740000052,03/02/2026,5000,Scratch
380,740000010,19/01/2026,20000,Agent
381,740000091,17/04/2026,1000,Scratch
382,740000096,19/05/2026,20000,Scratch
383,710000013,31/05/2026,10000,Scratch
384,740000078,21/03/2026,5000,MobileMoney
385,710000066,06/01/2026,5000,MobileMoney
386,710000059,21/02/2026,1000,MobileMoney
387,710000084,28/05/2026,10000,MobileMoney
388,710000038,20/04/2026,1000,Scratch
389,710000053,24/05/2026,5000,MobileMoney
390,710000037,29/06/2026,20000,Agent
391,710000032,08/04/2026,1000,MobileMoney
392,740000094,11/04/2026,5000,Agent
393,740000092,28/01/2026,10000,Scratch
394,740000074,07/01/2026,10000,Scratch
395,740000058,05/04/2026,10000,Agent
396,710000014,14/06/2026,5000,MobileMoney
397,740000019,11/06/2026,1000,Scratch
398,740000072,13/02/2026,2000,MobileMoney
399,710000076,05/03/2026,1000,Scratch
400,740000052,07/06/2026,10000,Agent
401,710000093,26/05/2026,2000,Scratch
402,710000099,07/05/2026,5000,MobileMoney
403,740000040,28/03/2026,2000,Scratch
404,740000042,26/06/2026,20000,Agent
405,710000053,02/01/2026,5000,Agent
406,710000027,24/05/2026,10000,Agent
407,710000064,22/03/2026,2000,MobileMoney
408,740000060,04/05/2026,20000,Agent
409,740000095,21/01/2026,1000,MobileMoney
410,710000090,20/01/2026,10000,Scratch
411,710000097,04/01/2026,2000,Agent
412,740000096,01/02/2026,2000,Scratch
413,710000057,30/01/2026,1000,MobileMoney
414,710000064,13/02/2026,20000,MobileMoney
415,710000018,21/05/2026,10000,MobileMoney
416,710000002,17/03/2026,1000,MobileMoney
417,710000038,23/06/2026,5000,Agent
418,740000042,07/06/2026,5000,Agent
419,710000084,12/02/2026,2000,MobileMoney
420,710000067,25/06/2026,2000,Agent
421,740000092,06/04/2026,20000,Agent
422,710000033,01/05/2026,10000,Scratch
423,710000043,04/02/2026,2000,Agent
424,740000092,02/05/2026,1000,MobileMoney
425,740000054,15/02/2026,2000,MobileMoney
426,740000009,02/01/2026,5000,Agent
427,740000025,21/02/2026,1000,Agent
428,710000059,26/03/2026,1000,Scratch
429,710000080,30/04/2026,20000,Scratch
430,740000009,31/03/2026,20000,Scratch
431,710000045,10/06/2026,1000,Scratch
432,740000036,14/03/2026,10000,Agent
433,740000094,20/03/2026,5000,Agent
434,710000099,14/04/2026,5000,Agent
435,740000070,14/06/2026,2000,Scratch
436,710000076,09/02/2026,1000,Agent
437,710000028,13/03/2026,2000,MobileMoney
438,710000073,27/01/2026,2000,Agent
439,710000076,15/06/2026,10000,MobileMoney
440,740000074,01/06/2026,20000,MobileMoney
441,740000095,07/06/2026,10000,Scratch
442,740000022,01/01/2026,2000,Scratch
443,740000012,07/06/2026,2000,Scratch
444,740000022,02/05/2026,1000,MobileMoney
445,740000010,14/01/2026,2000,Agent
446,710000057,19/04/2026,10000,MobileMoney
447,740000039,09/05/2026,1000,Scratch
448,740000072,11/04/2026,10000,MobileMoney
449,740000091,02/05/2026,5000,MobileMoney
450,710000067,23/03/2026,20000,Scratch
451,740000078,24/02/2026,2000,Agent
452,740000036,06/02/2026,10000,Agent
453,710000057,06/05/2026,5000,Agent
454,740000016,23/05/2026,10000,Agent
455,710000045,15/02/2026,1000,MobileMoney
456,740000060,21/06/2026,5000,Agent
457,710000055,24/02/2026,20000,Agent
458,740000025,08/04/2026,5000,Scratch
459,740000096,03/01/2026,2000,MobileMoney
460,740000047,15/05/2026,2000,Scratch
461,710000076,21/03/2026,5000,Scratch
462,740000048,06/03/2026,20000,Scratch
463,740000078,11/03/2026,1000,Agent
464,740000036,14/06/2026,10000,MobileMoney
465,740000006,28/06/2026,5000,MobileMoney
466,740000081,15/01/2026,20000,Scratch
467,740000092,01/05/2026,20000,Agent
468,710000059,06/05/2026,2000,MobileMoney
469,740000096,15/06/2026,20000,Scratch
470,710000005,05/04/2026,1000,Agent
471,740000092,09/02/2026,2000,Scratch
472,710000011,18/04/2026,1000,Scratch
473,710000057,13/06/2026,1000,MobileMoney
474,710000013,20/05/2026,5000,Scratch
475,710000084,07/06/2026,1000,MobileMoney
476,740000087,23/03/2026,2000,Agent
477,710000093,04/04/2026,20000,Scratch
478,710000086,14/04/2026,10000,Agent
479,710000086,16/01/2026,1000,Scratch
480,740000098,09/05/2026,2000,Agent
481,740000035,22/01/2026,2000,MobileMoney
482,740000006,12/03/2026,20000,Scratch
483,740000089,10/05/2026,10000,Scratch
484,740000082,01/01/2026,5000,MobileMoney
485,740000072,31/03/2026,1000,MobileMoney
486,740000060,26/05/2026,1000,Agent
487,740000060,23/01/2026,1000,Scratch
488,710000024,23/01/2026,2000,MobileMoney
489,710000076,10/06/2026,1000,Scratch
490,710000002,25/02/2026,5000,MobileMoney
491,710000011,05/03/2026,5000,Agent
492,710000083,18/02/2026,2000,MobileMoney
493,740000007,08/04/2026,5000,Scratch
494,740000036,05/02/2026,20000,MobileMoney
495,710000053,27/02/2026,2000,MobileMoney
496,740000026,15/02/2026,5000,MobileMoney
497,710000090,23/04/2026,5000,Scratch
498,710000063,01/04/2026,20000,MobileMoney
499,710000045,14/06/2026,20000,MobileMoney
500,740000081,25/06/2026,2000,Scratch
