BundleSaleID,MSISDN,BundleName,PurchaseDate,Amount,ValidityDays
159,740000072,Weekly 1GB,2026-06-05,5000,7
161,710000049,Daily 100MB,2026-05-06,1000,1
162,710000013,Daily 100MB,2026-12-04,1000,1
166,710000053,Monthly 5GB,2026-01-04,20000,30
167,740000054,Daily 100MB,2026-03-06,1000,1
168,740000041,Weekly 1GB,2026-03-04,5000,7
170,740000082,Monthly 5GB,2026-12-06,20000,30
174,740000058,Weekly 1GB,2026-10-02,5000,7
178,710000013,Monthly 5GB,2026-09-04,20000,30
181,710000004,Monthly 5GB,2026-08-06,20000,30
182,710000018,Daily 100MB,2026-06-06,1000,1
185,740000042,Daily 100MB,2026-06-06,1000,1
188,740000048,Daily 100MB,2026-06-01,1000,1
190,710000071,Weekly 1GB,2026-11-05,5000,7
192,710000093,Weekly 1GB,2026-03-03,5000,7
197,710000088,Daily 100MB,2026-04-06,1000,1
202,740000009,Monthly 5GB,2026-02-01,20000,30
207,740000092,Daily 100MB,2026-05-06,1000,1
208,740000069,Monthly 5GB,2026-07-01,20000,30
210,740000051,Weekly 1GB,2026-11-01,5000,7
211,740000052,Weekly 1GB,2026-11-05,5000,7
217,740000019,Weekly 1GB,2026-04-03,5000,7
218,710000027,Weekly 1GB,2026-09-03,5000,7
221,710000063,Monthly 5GB,2026-04-03,20000,30
224,710000090,Weekly 1GB,2026-08-03,5000,7
225,740000036,Monthly 5GB,2026-02-06,20000,30
226,740000098,Daily 100MB,2026-05-02,1000,1
228,740000029,Daily 100MB,2026-05-04,1000,1
230,740000092,Weekly 1GB,2026-10-02,5000,7
233,710000038,Monthly 5GB,2026-09-02,20000,30
234,740000089,Monthly 5GB,2026-02-02,20000,30
238,740000039,Monthly 5GB,2026-07-02,20000,30
239,710000002,Monthly 5GB,2026-08-03,20000,30
240,710000093,Weekly 1GB,2026-11-05,5000,7
243,710000083,Weekly 1GB,2026-09-02,5000,7
245,740000048,Monthly 5GB,2026-07-04,20000,30
248,710000049,Weekly 1GB,2026-04-01,5000,7
253,740000026,Monthly 5GB,2026-02-04,20000,30
257,710000086,Weekly 1GB,2026-09-01,5000,7
263,710000032,Monthly 5GB,2026-04-03,20000,30
265,710000084,Monthly 5GB,2026-04-03,20000,30
267,740000006,Daily 100MB,2026-05-06,1000,1
270,740000009,Monthly 5GB,2026-03-02,20000,30
272,710000030,Daily 100MB,2026-04-03,1000,1
280,740000077,Daily 100MB,2026-05-05,1000,1
281,710000073,Weekly 1GB,2026-03-01,5000,7
284,710000076,Daily 100MB,2026-12-06,1000,1
287,740000035,Monthly 5GB,2026-07-05,20000,30
289,710000062,Monthly 5GB,2026-12-05,20000,30
291,740000069,Weekly 1GB,2026-05-03,5000,7
295,710000063,Daily 100MB,2026-02-01,1000,1
296,710000066,Weekly 1GB,2026-01-05,5000,7
306,740000039,Monthly 5GB,2026-06-06,20000,30
308,740000042,Daily 100MB,2026-10-02,1000,1
309,710000099,Daily 100MB,2026-12-04,1000,1
310,740000021,Daily 100MB,2026-06-06,1000,1
313,740000054,Monthly 5GB,2026-10-03,20000,30
314,740000034,Daily 100MB,2026-01-05,1000,1
315,740000048,Weekly 1GB,2026-07-02,5000,7
316,710000043,Weekly 1GB,2026-01-04,5000,7
321,710000053,Daily 100MB,2026-01-04,1000,1
329,710000080,Daily 100MB,2026-09-05,1000,1
331,710000032,Daily 100MB,2026-11-02,1000,1
332,710000093,Weekly 1GB,2026-03-05,5000,7
333,710000076,Monthly 5GB,2026-01-05,20000,30
337,710000076,Monthly 5GB,2026-07-04,20000,30
339,710000044,Monthly 5GB,2026-12-03,20000,30
341,740000015,Weekly 1GB,2026-01-05,5000,7
350,740000089,Weekly 1GB,2026-06-01,5000,7
358,710000033,Weekly 1GB,2026-04-06,5000,7
359,710000003,Monthly 5GB,2026-05-02,20000,30
361,740000051,Weekly 1GB,2026-05-05,5000,7
363,740000048,Monthly 5GB,2026-05-01,20000,30
364,710000056,Monthly 5GB,2026-09-01,20000,30
370,740000021,Monthly 5GB,2026-12-05,20000,30
375,740000095,Weekly 1GB,2026-08-02,5000,7
381,710000001,Weekly 1GB,2026-09-06,5000,7
382,710000003,Weekly 1GB,2026-03-01,5000,7
389,740000025,Daily 100MB,2026-07-02,1000,1
392,740000006,Monthly 5GB,2026-02-02,20000,30
398,710000004,Weekly 1GB,2026-05-02,5000,7
399,740000016,Weekly 1GB,2026-07-04,5000,7
