SubscriptionID,MSISDN,PackageName,SubscriptionDate,MonthlyFee,Status
66,740000040,Home 20Mbps,2026-04-22,300000,Active
67,710000011,Business 50Mbps,2026-02-16,150000,Active
68,710000066,Home 10Mbps,2026-02-06,300000,Active
69,740000029,Home 10Mbps,2026-02-20,300000,Active
70,740000096,Home 20Mbps,2026-05-15,300000,Active
71,710000100,Home 10Mbps,2026-05-25,300000,Active
72,710000068,Home 10Mbps,2026-05-17,150000,Active
73,740000070,Home 10Mbps,2026-06-27,300000,Active
74,740000022,Home 20Mbps,2026-02-10,100000,Active
75,710000088,Home 10Mbps,2026-06-12,300000,Active
76,710000080,Home 10Mbps,2026-02-08,300000,Active
77,710000079,Home 20Mbps,2026-02-21,150000,Active
78,740000007,Home 20Mbps,2026-03-17,150000,Active
79,710000067,Home 20Mbps,2026-05-02,150000,Active
80,740000042,Home 10Mbps,2026-03-18,100000,Active
81,740000010,Home 20Mbps,2026-05-23,300000,Active
82,740000040,Home 10Mbps,2026-06-06,300000,Active
83,740000009,Home 10Mbps,2026-04-16,100000,Active
84,740000019,Home 20Mbps,2026-02-11,100000,Active
85,740000051,Home 10Mbps,2026-06-15,150000,Active
86,740000051,Business 50Mbps,2026-02-19,100000,Active
87,710000045,Home 10Mbps,2026-02-27,150000,Active
88,710000018,Home 20Mbps,2026-02-01,300000,Active
89,740000095,Business 50Mbps,2026-06-22,100000,Active
90,710000027,Home 20Mbps,2026-02-06,300000,Active
91,740000036,Home 20Mbps,2026-01-03,300000,Active
92,740000016,Business 50Mbps,2026-03-21,300000,Active
93,710000014,Business 50Mbps,2026-06-03,150000,Active
94,710000030,Business 50Mbps,2026-04-23,150000,Active
95,740000016,Business 50Mbps,2026-06-06,150000,Active
96,710000020,Home 10Mbps,2026-03-29,150000,Active
97,740000006,Home 20Mbps,2026-03-07,100000,Active
98,740000081,Home 20Mbps,2026-04-20,300000,Active
99,740000022,Business 50Mbps,2026-06-27,150000,Active
100,740000098,Home 20Mbps,2026-02-27,300000,Active
