CallID,CallingMSISDN,CalledMSISDN,CallDate,DurationSeconds,ChargeAmount,CallType
50,740000072,740000025,2026-03-03,97,194,Offnet
51,710000063,772123456,2026-05-02,717,1434,Offnet
52,740000058,772123456,2026-02-26,311,622,Offnet
53,740000089,740000085,2026-04-05,605,1210,Offnet
54,710000071,755123456,2026-05-21,773,1546,Offnet
55,740000046,755123456,2026-03-06,323,646,Onnet
56,740000016,755123456,2026-05-18,132,264,Onnet
57,740000025,710000062,2026-05-31,293,586,Offnet
58,710000013,755123456,2026-04-03,242,484,Onnet
59,740000039,740000069,2026-03-12,139,278,Onnet
60,740000007,256781234567,2026-06-13,139,278,Offnet
61,710000014,256781234567,2026-05-01,301,602,Offnet
62,710000057,772123456,2026-05-03,268,536,Onnet
63,740000009,772123456,2026-06-11,600,1200,Onnet
64,710000020,710000073,2026-01-22,321,642,Onnet
65,740000016,755123456,2026-06-02,630,1260,Onnet
66,710000100,755123456,2026-03-18,463,926,Offnet
67,740000040,772123456,2026-01-26,634,1268,Onnet
68,740000081,740000085,2026-02-10,93,186,Onnet
69,740000023,772123456,2026-04-15,12,24,Offnet
70,740000089,755123456,2026-03-01,43,86,Offnet
71,740000091,710000059,2026-06-25,82,164,Onnet
72,740000034,256781234567,2026-06-19,613,1226,Onnet
73,710000055,740000029,2026-02-08,673,1346,Offnet
74,740000019,740000022,2026-03-20,821,1642,Offnet
75,710000057,740000089,2026-06-29,321,642,Offnet
76,740000035,755123456,2026-01-21,458,916,Onnet
77,710000056,256781234567,2026-01-07,266,532,Onnet
78,710000030,256781234567,2026-01-06,611,1222,Offnet
79,740000074,710000097,2026-05-01,189,378,Offnet
80,740000036,740000075,2026-06-12,456,912,Offnet
81,740000012,755123456,2026-03-24,351,702,Onnet
82,740000021,256781234567,2026-03-15,517,1034,Offnet
83,740000098,755123456,2026-03-22,100,200,Offnet
84,740000042,710000099,2026-05-12,423,846,Onnet
85,740000085,755123456,2026-01-14,433,866,Onnet
86,710000067,755123456,2026-04-24,650,1300,Onnet
87,710000027,740000017,2026-04-23,304,608,Offnet
88,740000016,740000081,2026-03-03,633,1266,Onnet
89,740000040,256781234567,2026-01-24,427,854,Onnet
90,740000015,772123456,2026-02-09,673,1346,Offnet
91,740000092,740000091,2026-04-17,289,578,Offnet
92,740000061,710000071,2026-04-09,158,316,Onnet
93,740000077,772123456,2026-01-18,894,1788,Offnet
94,710000099,755123456,2026-05-10,358,716,Offnet
95,710000001,740000039,2026-05-31,867,1734,Offnet
96,710000020,755123456,2026-03-27,363,726,Offnet
97,710000059,772123456,2026-03-03,724,1448,Offnet
98,710000030,755123456,2026-03-23,54,108,Offnet
99,740000091,755123456,2026-06-19,405,810,Onnet
100,710000064,772123456,2026-06-01,524,1048,Offnet
101,710000013,755123456,2026-05-15,112,224,Offnet
102,710000002,755123456,2026-02-09,680,1360,Onnet
103,740000061,755123456,2026-06-09,356,712,Offnet
104,710000084,710000043,2026-06-22,882,1764,Offnet
105,740000041,755123456,2026-01-10,564,1128,Onnet
106,740000031,755123456,2026-01-24,242,484,Offnet
107,710000013,256781234567,2026-04-24,112,224,Onnet
108,740000089,710000004,2026-03-25,57,114,Onnet
109,710000038,755123456,2026-03-04,159,318,Offnet
110,710000073,772123456,2026-02-14,184,368,Onnet
111,710000079,256781234567,2026-03-03,709,1418,Offnet
112,740000075,740000060,2026-03-07,663,1326,Offnet
113,710000033,755123456,2026-06-23,304,608,Onnet
114,740000010,755123456,2026-03-18,611,1222,Offnet
115,740000089,740000039,2026-04-09,213,426,Offnet
116,710000014,740000074,2026-05-28,377,754,Offnet
117,710000090,740000085,2026-03-12,415,830,Onnet
118,710000073,256781234567,2026-06-05,60,120,Offnet
119,710000037,772123456,2026-04-01,631,1262,Onnet
120,740000082,710000033,2026-06-18,704,1408,Onnet
121,740000081,740000081,2026-01-11,671,1342,Offnet
122,710000057,740000047,2026-02-03,759,1518,Onnet
123,710000038,755123456,2026-02-21,189,378,Onnet
124,740000070,755123456,2026-05-09,553,1106,Offnet
125,740000022,710000062,2026-03-17,835,1670,Offnet
126,740000015,772123456,2026-02-27,154,308,Offnet
127,740000072,755123456,2026-03-09,24,48,Onnet
128,710000059,256781234567,2026-03-09,698,1396,Offnet
129,740000082,772123456,2026-03-01,701,1402,Offnet
130,710000004,256781234567,2026-06-06,345,690,Onnet
131,710000083,740000060,2026-03-19,727,1454,Offnet
132,740000015,710000005,2026-05-07,321,642,Onnet
133,710000013,740000069,2026-04-10,148,296,Offnet
134,740000048,256781234567,2026-05-19,723,1446,Offnet
135,710000076,772123456,2026-06-17,434,868,Onnet
136,710000063,755123456,2026-06-26,43,86,Offnet
137,710000028,772123456,2026-04-03,885,1770,Onnet
138,710000088,256781234567,2026-01-16,377,754,Offnet
139,740000036,740000016,2026-04-27,878,1756,Onnet
140,740000085,740000082,2026-01-06,621,1242,Onnet
141,710000043,740000017,2026-05-25,815,1630,Onnet
142,740000009,256781234567,2026-05-31,222,444,Onnet
143,710000030,772123456,2026-06-02,817,1634,Onnet
144,740000036,772123456,2026-05-19,143,286,Offnet
145,740000023,710000004,2026-01-04,144,288,Offnet
146,740000031,772123456,2026-03-09,188,376,Onnet
147,740000017,256781234567,2026-01-17,126,252,Offnet
148,740000058,256781234567,2026-01-28,617,1234,Offnet
149,710000065,710000079,2026-06-18,54,108,Offnet
150,710000059,772123456,2026-05-03,72,144,Offnet
151,710000055,755123456,2026-04-24,739,1478,Onnet
152,710000011,772123456,2026-02-02,77,154,Offnet
153,710000080,256781234567,2026-03-25,739,1478,Offnet
154,740000077,755123456,2026-06-04,527,1054,Offnet
155,710000013,772123456,2026-06-17,883,1766,Onnet
156,710000056,772123456,2026-03-28,433,866,Offnet
157,740000052,772123456,2026-04-20,330,660,Offnet
158,710000086,710000020,2026-05-02,713,1426,Onnet
159,740000012,772123456,2026-01-25,452,904,Offnet
160,740000017,256781234567,2026-05-24,585,1170,Offnet
161,710000086,740000046,2026-04-19,691,1382,Onnet
162,710000037,755123456,2026-05-28,116,232,Onnet
163,710000020,772123456,2026-01-28,877,1754,Offnet
164,740000072,755123456,2026-02-27,597,1194,Offnet
165,740000072,256781234567,2026-06-22,638,1276,Onnet
166,740000078,256781234567,2026-01-08,283,566,Onnet
167,740000035,755123456,2026-03-31,357,714,Onnet
168,710000024,256781234567,2026-04-13,683,1366,Onnet
169,740000019,772123456,2026-05-16,103,206,Onnet
170,710000049,755123456,2026-04-05,171,342,Offnet
171,710000093,256781234567,2026-01-22,620,1240,Onnet
172,710000020,710000080,2026-06-22,60,120,Onnet
173,740000035,755123456,2026-06-05,507,1014,Offnet
174,740000054,710000097,2026-01-30,534,1068,Offnet
175,710000056,740000087,2026-06-01,704,1408,Offnet
176,710000068,772123456,2026-04-12,235,470,Onnet
177,710000001,710000028,2026-02-05,795,1590,Offnet
178,710000038,772123456,2026-04-21,519,1038,Onnet
179,740000017,256781234567,2026-05-09,245,490,Offnet
180,740000010,256781234567,2026-04-22,53,106,Onnet
181,710000059,755123456,2026-04-20,599,1198,Offnet
182,740000091,755123456,2026-04-14,127,254,Onnet
183,740000042,710000080,2026-06-26,481,962,Offnet
184,740000012,772123456,2026-04-22,259,518,Offnet
185,710000068,740000040,2026-03-28,773,1546,Onnet
186,710000043,772123456,2026-06-12,532,1064,Onnet
187,710000068,755123456,2026-06-15,369,738,Onnet
188,740000031,710000033,2026-02-14,212,424,Onnet
189,740000098,772123456,2026-06-10,191,382,Offnet
190,740000060,256781234567,2026-06-24,469,938,Offnet
191,740000081,755123456,2026-05-01,79,158,Offnet
192,740000081,755123456,2026-01-15,615,1230,Offnet
193,710000065,740000060,2026-01-10,472,944,Onnet
194,740000048,772123456,2026-01-24,670,1340,Offnet
195,740000060,256781234567,2026-04-26,52,104,Onnet
196,740000042,256781234567,2026-01-16,164,328,Offnet
197,710000014,755123456,2026-01-22,741,1482,Onnet
198,740000006,710000057,2026-05-15,459,918,Onnet
199,740000047,755123456,2026-04-15,406,812,Offnet
200,740000087,256781234567,2026-03-27,672,1344,Onnet
201,710000043,740000087,2026-03-14,405,810,Offnet
202,710000093,256781234567,2026-03-27,163,326,Onnet
203,740000075,755123456,2026-06-17,327,654,Offnet
204,740000017,772123456,2026-05-24,327,654,Offnet
205,710000083,772123456,2026-06-29,696,1392,Onnet
206,710000083,256781234567,2026-01-05,380,760,Offnet
207,740000040,710000028,2026-05-05,359,718,Onnet
208,740000029,772123456,2026-03-17,89,178,Onnet
209,710000065,256781234567,2026-01-10,549,1098,Offnet
210,710000099,256781234567,2026-02-09,395,790,Onnet
211,710000024,256781234567,2026-02-12,838,1676,Offnet
212,740000006,256781234567,2026-03-02,746,1492,Offnet
213,710000079,740000096,2026-04-25,812,1624,Onnet
214,740000069,740000061,2026-02-19,865,1730,Offnet
215,740000087,755123456,2026-03-14,482,964,Offnet
216,710000065,772123456,2026-02-21,846,1692,Onnet
217,710000033,710000062,2026-05-22,390,780,Onnet
218,740000092,772123456,2026-01-22,301,602,Onnet
219,740000035,256781234567,2026-04-22,160,320,Onnet
220,740000029,755123456,2026-04-17,37,74,Onnet
221,740000051,772123456,2026-01-21,405,810,Offnet
222,740000029,710000013,2026-06-16,869,1738,Offnet
223,740000019,710000037,2026-05-01,859,1718,Onnet
224,740000098,755123456,2026-01-02,640,1280,Onnet
225,710000003,710000020,2026-06-05,571,1142,Offnet
226,740000015,772123456,2026-02-01,318,636,Onnet
227,740000031,256781234567,2026-01-17,478,956,Onnet
228,710000064,772123456,2026-05-12,657,1314,Onnet
229,740000092,710000055,2026-06-07,11,22,Offnet
230,740000031,772123456,2026-06-21,690,1380,Onnet
231,710000068,772123456,2026-05-20,548,1096,Onnet
232,740000050,772123456,2026-04-10,660,1320,Offnet
233,710000033,755123456,2026-01-18,817,1634,Offnet
234,740000031,256781234567,2026-05-29,116,232,Offnet
235,710000018,740000070,2026-06-14,356,712,Onnet
236,710000100,256781234567,2026-06-11,500,1000,Onnet
237,710000018,710000100,2026-01-10,478,956,Offnet
238,740000026,740000026,2026-03-22,52,104,Offnet
239,710000066,256781234567,2026-03-06,494,988,Onnet
240,710000097,755123456,2026-01-13,375,750,Offnet
241,740000035,740000048,2026-04-13,457,914,Offnet
242,740000050,772123456,2026-06-27,518,1036,Offnet
243,740000048,256781234567,2026-01-22,283,566,Offnet
244,710000011,772123456,2026-03-17,568,1136,Offnet
245,710000014,740000085,2026-03-20,312,624,Offnet
246,740000078,772123456,2026-04-24,716,1432,Offnet
247,740000058,740000046,2026-04-22,639,1278,Offnet
248,740000082,772123456,2026-06-21,86,172,Offnet
249,740000047,256781234567,2026-02-10,705,1410,Onnet
250,740000019,256781234567,2026-04-23,810,1620,Onnet
251,740000017,710000100,2026-04-04,670,1340,Offnet
252,740000050,772123456,2026-02-09,629,1258,Offnet
253,740000048,772123456,2026-02-05,597,1194,Offnet
254,740000051,755123456,2026-01-30,265,530,Onnet
255,740000095,710000067,2026-05-24,406,812,Onnet
256,740000034,256781234567,2026-02-24,466,932,Offnet
257,740000089,755123456,2026-02-01,214,428,Onnet
258,740000010,256781234567,2026-01-23,465,930,Offnet
259,710000086,772123456,2026-05-19,573,1146,Offnet
260,740000039,256781234567,2026-06-29,736,1472,Onnet
261,740000047,772123456,2026-02-05,215,430,Onnet
262,710000064,710000071,2026-04-05,596,1192,Offnet
263,710000071,740000012,2026-03-21,77,154,Offnet
264,740000092,256781234567,2026-04-15,430,860,Onnet
265,740000017,256781234567,2026-04-26,85,170,Offnet
266,710000088,772123456,2026-05-22,858,1716,Onnet
267,710000099,755123456,2026-01-15,524,1048,Onnet
268,710000067,740000022,2026-03-24,175,350,Onnet
269,710000045,256781234567,2026-01-21,300,600,Offnet
270,740000026,256781234567,2026-02-02,291,582,Offnet
271,710000079,256781234567,2026-02-13,666,1332,Onnet
272,740000022,256781234567,2026-03-28,629,1258,Onnet
273,710000004,710000083,2026-05-28,799,1598,Offnet
274,710000084,740000074,2026-06-08,436,872,Onnet
275,710000064,256781234567,2026-06-14,306,612,Offnet
276,710000062,710000088,2026-03-18,425,850,Offnet
277,740000010,772123456,2026-04-17,460,920,Offnet
278,740000060,740000078,2026-03-22,157,314,Offnet
279,740000094,755123456,2026-02-03,418,836,Offnet
280,710000066,755123456,2026-04-30,257,514,Onnet
281,740000035,772123456,2026-01-13,109,218,Offnet
282,740000050,755123456,2026-02-10,264,528,Offnet
283,740000074,772123456,2026-02-10,791,1582,Offnet
284,710000066,755123456,2026-01-06,519,1038,Onnet
285,740000051,772123456,2026-05-30,230,460,Offnet
286,740000007,710000064,2026-06-17,621,1242,Offnet
287,710000037,772123456,2026-02-04,451,902,Offnet
288,740000094,755123456,2026-01-12,384,768,Offnet
289,740000007,772123456,2026-05-22,381,762,Offnet
290,740000010,755123456,2026-05-21,792,1584,Offnet
291,710000080,772123456,2026-01-25,141,282,Offnet
292,740000048,755123456,2026-04-04,581,1162,Onnet
293,740000026,755123456,2026-01-11,522,1044,Onnet
294,710000005,710000043,2026-05-02,833,1666,Offnet
295,710000020,256781234567,2026-03-25,153,306,Offnet
296,740000021,256781234567,2026-03-18,767,1534,Offnet
297,710000065,256781234567,2026-05-25,511,1022,Offnet
298,740000061,755123456,2026-06-22,349,698,Onnet
299,740000054,256781234567,2026-06-11,714,1428,Onnet
300,740000077,256781234567,2026-05-29,811,1622,Onnet
301,710000093,710000062,2026-05-15,184,368,Offnet
302,740000019,772123456,2026-05-27,42,84,Onnet
303,740000025,740000041,2026-02-08,438,876,Offnet
304,740000089,710000065,2026-06-06,803,1606,Offnet
305,740000095,256781234567,2026-05-13,151,302,Onnet
306,740000072,256781234567,2026-05-15,499,998,Offnet
307,740000041,755123456,2026-03-29,555,1110,Offnet
308,740000087,256781234567,2026-06-14,707,1414,Offnet
309,710000079,772123456,2026-05-23,295,590,Offnet
310,740000029,755123456,2026-03-15,799,1598,Onnet
311,740000089,755123456,2026-03-31,501,1002,Offnet
312,710000037,740000087,2026-04-08,566,1132,Offnet
313,710000045,772123456,2026-01-11,307,614,Offnet
314,740000092,710000057,2026-03-07,681,1362,Offnet
315,710000028,740000069,2026-05-24,287,574,Offnet
316,710000018,740000095,2026-03-03,610,1220,Onnet
317,740000007,256781234567,2026-06-13,241,482,Onnet
318,740000007,710000043,2026-05-01,744,1488,Onnet
319,710000088,772123456,2026-02-10,573,1146,Offnet
320,710000084,755123456,2026-06-16,498,996,Onnet
321,710000097,755123456,2026-06-15,302,604,Onnet
322,710000099,740000074,2026-05-17,247,494,Onnet
323,740000023,772123456,2026-04-12,47,94,Offnet
324,710000024,755123456,2026-01-03,48,96,Offnet
325,710000073,755123456,2026-04-27,301,602,Offnet
326,710000018,755123456,2026-02-19,289,578,Onnet
327,710000043,710000059,2026-03-07,673,1346,Onnet
328,710000002,755123456,2026-06-22,591,1182,Onnet
329,740000023,256781234567,2026-04-20,425,850,Offnet
330,740000012,772123456,2026-02-05,199,398,Offnet
331,740000042,772123456,2026-04-09,277,554,Onnet
332,740000058,755123456,2026-05-30,319,638,Onnet
333,740000034,256781234567,2026-01-16,251,502,Onnet
334,740000060,755123456,2026-05-09,712,1424,Offnet
335,740000089,710000038,2026-06-07,386,772,Onnet
336,740000029,755123456,2026-04-27,166,332,Offnet
337,740000054,755123456,2026-05-18,785,1570,Onnet
338,740000098,710000097,2026-01-21,620,1240,Offnet
339,710000068,772123456,2026-01-29,587,1174,Onnet
340,710000071,772123456,2026-05-18,596,1192,Onnet
341,740000022,256781234567,2026-01-30,462,924,Onnet
342,740000092,772123456,2026-04-25,532,1064,Onnet
343,710000059,740000054,2026-05-25,477,954,Onnet
344,740000072,755123456,2026-01-06,750,1500,Offnet
345,710000033,256781234567,2026-05-29,233,466,Onnet
346,740000006,256781234567,2026-05-19,75,150,Onnet
347,740000009,755123456,2026-03-15,42,84,Offnet
348,710000024,256781234567,2026-06-15,756,1512,Offnet
349,740000048,755123456,2026-04-07,469,938,Offnet
350,710000011,256781234567,2026-02-04,562,1124,Offnet
351,740000016,740000069,2026-05-16,412,824,Onnet
352,740000094,772123456,2026-01-06,784,1568,Offnet
353,740000060,256781234567,2026-05-17,444,888,Offnet
354,710000030,710000045,2026-03-12,168,336,Onnet
355,710000093,772123456,2026-06-19,838,1676,Offnet
356,710000079,772123456,2026-02-22,256,512,Onnet
357,710000013,755123456,2026-06-22,622,1244,Onnet
358,710000032,755123456,2026-03-01,459,918,Onnet
359,710000097,772123456,2026-05-09,153,306,Offnet
360,710000030,256781234567,2026-03-23,599,1198,Offnet
361,740000031,772123456,2026-05-14,686,1372,Onnet
362,710000053,772123456,2026-06-01,580,1160,Onnet
363,740000081,256781234567,2026-01-13,517,1034,Offnet
364,710000083,256781234567,2026-06-28,336,672,Offnet
365,710000053,710000049,2026-05-18,198,396,Offnet
366,740000031,755123456,2026-02-06,888,1776,Offnet
367,710000008,755123456,2026-05-16,580,1160,Onnet
368,740000050,710000027,2026-06-15,348,696,Onnet
369,740000058,772123456,2026-02-18,558,1116,Onnet
370,740000035,256781234567,2026-01-11,627,1254,Onnet
371,740000025,256781234567,2026-06-21,751,1502,Onnet
372,710000062,710000043,2026-01-04,320,640,Onnet
373,740000025,772123456,2026-05-03,774,1548,Onnet
374,710000090,772123456,2026-03-03,416,832,Offnet
375,710000100,740000060,2026-06-16,556,1112,Offnet
376,740000040,710000066,2026-04-30,519,1038,Onnet
377,710000093,755123456,2026-04-05,218,436,Offnet
378,710000053,740000029,2026-02-07,769,1538,Onnet
379,740000034,256781234567,2026-04-17,603,1206,Offnet
380,710000020,710000030,2026-05-26,398,796,Onnet
381,710000064,256781234567,2026-03-07,355,710,Offnet
382,710000093,755123456,2026-02-13,481,962,Offnet
383,740000022,740000070,2026-02-17,510,1020,Onnet
384,710000068,740000010,2026-06-21,847,1694,Onnet
385,740000098,710000018,2026-06-11,872,1744,Onnet
386,740000009,772123456,2026-05-10,233,466,Offnet
387,740000048,740000082,2026-06-07,692,1384,Offnet
388,740000085,772123456,2026-05-22,554,1108,Offnet
389,710000002,710000093,2026-05-18,291,582,Offnet
390,710000003,256781234567,2026-04-21,700,1400,Onnet
391,710000014,256781234567,2026-03-03,162,324,Onnet
392,710000080,755123456,2026-04-12,283,566,Onnet
393,740000048,755123456,2026-03-04,588,1176,Onnet
394,740000039,772123456,2026-06-16,679,1358,Onnet
395,740000012,755123456,2026-05-02,575,1150,Onnet
396,740000082,740000022,2026-05-08,94,188,Offnet
397,710000083,256781234567,2026-01-25,888,1776,Onnet
398,710000030,740000089,2026-05-02,590,1180,Offnet
399,740000006,256781234567,2026-05-20,297,594,Onnet
400,740000023,755123456,2026-02-23,26,52,Onnet
401,710000097,755123456,2026-03-18,88,176,Onnet
402,710000073,740000050,2026-05-19,703,1406,Offnet
403,740000050,772123456,2026-06-26,819,1638,Onnet
404,710000065,755123456,2026-01-26,64,128,Offnet
405,710000030,755123456,2026-06-07,629,1258,Offnet
406,710000100,256781234567,2026-04-26,289,578,Offnet
407,710000030,755123456,2026-02-17,452,904,Offnet
408,710000011,755123456,2026-03-05,827,1654,Onnet
409,710000011,710000049,2026-06-12,738,1476,Onnet
410,740000095,755123456,2026-01-24,119,238,Onnet
411,740000040,755123456,2026-02-03,114,228,Onnet
412,710000024,256781234567,2026-05-12,578,1156,Offnet
413,710000014,740000046,2026-01-24,577,1154,Offnet
414,740000050,710000053,2026-01-22,407,814,Onnet
415,740000074,256781234567,2026-02-13,399,798,Onnet
416,740000035,755123456,2026-01-17,159,318,Onnet
417,710000056,740000039,2026-01-20,505,1010,Offnet
418,710000033,256781234567,2026-05-07,650,1300,Onnet
419,710000059,740000039,2026-04-12,16,32,Offnet
420,710000080,755123456,2026-03-27,460,920,Offnet
421,710000084,772123456,2026-03-24,317,634,Onnet
422,710000062,755123456,2026-03-16,336,672,Offnet
423,740000074,755123456,2026-03-13,395,790,Offnet
424,740000047,710000073,2026-06-01,214,428,Onnet
425,710000088,772123456,2026-04-29,754,1508,Onnet
426,710000057,256781234567,2026-04-15,80,160,Offnet
427,710000018,772123456,2026-06-18,268,536,Onnet
428,740000092,755123456,2026-04-25,85,170,Offnet
429,740000075,256781234567,2026-06-27,900,1800,Offnet
430,740000070,740000047,2026-05-18,728,1456,Onnet
431,710000014,256781234567,2026-04-01,690,1380,Onnet
432,710000083,256781234567,2026-06-23,670,1340,Offnet
433,710000097,755123456,2026-01-03,118,236,Onnet
434,740000034,740000096,2026-05-23,541,1082,Onnet
435,740000058,755123456,2026-06-23,800,1600,Onnet
436,710000045,755123456,2026-03-17,117,234,Offnet
437,710000011,740000094,2026-03-31,155,310,Offnet
438,710000044,772123456,2026-05-04,543,1086,Offnet
439,740000061,710000093,2026-04-26,723,1446,Offnet
440,740000009,256781234567,2026-01-06,127,254,Offnet
441,710000083,740000022,2026-03-04,768,1536,Onnet
442,710000071,740000072,2026-04-29,446,892,Onnet
443,740000052,772123456,2026-06-18,665,1330,Offnet
444,740000051,710000079,2026-04-26,212,424,Offnet
445,740000050,710000028,2026-03-13,220,440,Onnet
446,740000074,740000069,2026-04-04,201,402,Offnet
447,740000026,755123456,2026-05-06,696,1392,Offnet
448,740000077,755123456,2026-01-30,611,1222,Offnet
449,740000046,256781234567,2026-06-22,186,372,Offnet
450,710000079,256781234567,2026-03-22,147,294,Onnet
451,740000031,772123456,2026-06-27,392,784,Onnet
452,710000066,256781234567,2026-05-28,151,302,Offnet
453,710000055,740000082,2026-06-27,560,1120,Onnet
454,740000072,710000037,2026-02-17,153,306,Offnet
455,740000058,755123456,2026-05-05,19,38,Onnet
456,740000025,256781234567,2026-06-17,527,1054,Offnet
457,710000053,755123456,2026-04-24,737,1474,Offnet
458,740000022,710000004,2026-02-26,824,1648,Offnet
459,710000005,740000069,2026-02-13,305,610,Offnet
460,710000073,755123456,2026-05-11,572,1144,Onnet
461,740000074,710000100,2026-04-04,566,1132,Onnet
462,740000098,256781234567,2026-04-19,233,466,Onnet
463,740000095,772123456,2026-01-09,314,628,Offnet
464,740000034,772123456,2026-01-31,459,918,Onnet
465,710000027,256781234567,2026-03-31,715,1430,Offnet
466,740000022,772123456,2026-02-22,843,1686,Onnet
467,710000073,755123456,2026-05-18,621,1242,Onnet
468,740000042,755123456,2026-05-27,306,612,Offnet
469,710000066,256781234567,2026-01-25,844,1688,Onnet
470,710000097,772123456,2026-06-17,293,586,Onnet
471,710000090,772123456,2026-03-24,159,318,Onnet
472,740000098,755123456,2026-02-06,511,1022,Offnet
473,740000081,755123456,2026-06-12,87,174,Onnet
474,740000052,755123456,2026-04-05,721,1442,Offnet
475,710000063,772123456,2026-01-24,899,1798,Offnet
476,740000082,755123456,2026-01-17,880,1760,Offnet
477,710000028,772123456,2026-03-10,516,1032,Offnet
478,710000037,256781234567,2026-05-25,143,286,Offnet
479,710000044,772123456,2026-01-26,57,114,Offnet
480,710000003,740000021,2026-04-27,461,922,Onnet
481,710000055,740000089,2026-06-16,145,290,Offnet
482,740000021,755123456,2026-06-17,105,210,Offnet
483,710000033,710000086,2026-02-12,674,1348,Onnet
484,740000051,256781234567,2026-03-01,726,1452,Offnet
485,710000084,710000013,2026-02-24,11,22,Offnet
486,740000010,740000029,2026-06-24,541,1082,Offnet
487,710000002,710000044,2026-01-31,846,1692,Offnet
488,740000089,740000010,2026-04-09,244,488,Onnet
489,740000094,772123456,2026-04-05,330,660,Offnet
490,710000018,772123456,2026-06-23,666,1332,Onnet
491,740000009,772123456,2026-06-16,634,1268,Onnet
492,710000057,772123456,2026-02-08,653,1306,Offnet
493,710000079,772123456,2026-01-26,98,196,Onnet
494,710000097,740000094,2026-03-31,403,806,Offnet
495,740000041,772123456,2026-06-15,293,586,Onnet
496,710000032,256781234567,2026-06-05,748,1496,Offnet
497,710000100,772123456,2026-06-18,878,1756,Offnet
498,710000027,256781234567,2026-04-11,203,406,Offnet
499,710000083,740000031,2026-04-09,516,1032,Onnet
500,740000031,256781234567,2026-05-16,82,164,Onnet
501,740000047,772123456,2026-05-26,406,812,Offnet
502,740000047,772123456,2026-05-01,791,1582,Onnet
503,710000003,772123456,2026-02-25,278,556,Onnet
504,710000008,755123456,2026-03-15,528,1056,Offnet
505,710000055,772123456,2026-05-18,665,1330,Onnet
506,740000036,710000011,2026-02-22,533,1066,Onnet
507,740000069,256781234567,2026-06-16,659,1318,Onnet
508,740000040,256781234567,2026-03-03,876,1752,Onnet
509,710000032,710000056,2026-04-27,128,256,Onnet
510,740000040,256781234567,2026-02-14,768,1536,Onnet
511,710000002,256781234567,2026-02-11,21,42,Offnet
512,710000045,256781234567,2026-02-12,275,550,Offnet
513,740000017,755123456,2026-01-31,760,1520,Onnet
514,710000043,755123456,2026-01-17,546,1092,Offnet
515,740000092,256781234567,2026-05-08,88,176,Offnet
516,710000066,755123456,2026-05-26,889,1778,Onnet
517,740000048,710000099,2026-05-27,115,230,Onnet
518,710000030,772123456,2026-01-04,55,110,Onnet
519,740000006,755123456,2026-02-15,163,326,Onnet
520,710000071,256781234567,2026-06-17,768,1536,Offnet
521,740000029,755123456,2026-03-23,747,1494,Offnet
522,740000010,772123456,2026-06-22,524,1048,Onnet
